Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 65,   Resize, 64, 10, 10, 64, 20, 20, 64,  COL, 0, 0, 133, 122, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, d76a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 66,   Concat, 128, 20, 20, 128, 20, 20, 128,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73856, 22, 167ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 67,     Conv, 128, 20, 20, 32, 20, 20, 128, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 128, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 6a, ,,,,,,,, L2, DMA, 192, 129, 32, 6144, 0, e000, MSMC, DMA_ONCE, 192, 192, 32, 6144, 0, 299000, 
 68,     Conv, 128, 20, 20, 32, 20, 20, 128, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 128, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, d76a, ,,,,,,,, L2, DMA_ONCE, 192, 129, 32, 6144, 0, 6e000, ,,,,,,,, 
 69,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 32, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, d76a, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 3800, MSMC, DMA_ONCE, 33, 33, 32, 1152, 0, 29c000, 
 70,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 18432, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, d76a, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 4800, MSMC, DMA_ONCE, 320, 320, 32, 10240, 0, 292000, 
 71,   Concat, 64, 20, 20, 64, 20, 20, 64,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 64, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, 11fea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 72,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, 6a, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 7000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 260800, 
 73,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, d76a, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 7000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 263800, 
 74,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 64, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, 167ea, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 9000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 13d800, 
 75,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 64, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, 167ea, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 9000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 148800, 
 76,     Conv, 64, 20, 20, 1, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 1, 768, 22, 167ea, ,,,,,,,, L2, DMA_ONCE, 192, 65, 1, 256, 0, 6fb00, ,,,,,,,, 
 77,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 64, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, d76a, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 9000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 153800, 
 78,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 64, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, d76a, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 9000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 15e800, 
 80,     Conv, 64, 20, 20, 1, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 1, 768, 22, 16aea, ,,,,,,,, L2, DMA, 192, 65, 1, 256, 0, 7000, MSMC, DMA_ONCE, 192, 192, 1, 256, 0, 29e580, 
 79,     Conv, 64, 20, 20, 4, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 4, 2432, 22, e2aa, ,,,,,,,, L2, DMA, 192, 65, 4, 768, 0, 7000, MSMC, DMA_ONCE, 192, 192, 4, 768, 0, 29d680, 
 81,   Concat, 6, 20, 20, 6, 20, 20, 6,  COL, 0, 0, 420, 420, 6, 1, 6,,,,,,,,, L2, DMA, 576, 576, 2, 1152, 0, 0, ,,,,,,,, MSMC, CPU, 448, 400, 6, 2816, 0, d700, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 82,     Conv, 64, 20, 20, 64, 10, 10, 64, ROW_L, 22, 22, 420, 442, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 192, 101, 64, 12416, 0, e200, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 7000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 169800, 
 83,   Concat, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 100, 100, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, 74, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 84,     Conv, 128, 10, 10, 64, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, a6f4, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 275800, 
 85,     Conv, 128, 10, 10, 64, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, 74, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 278800, 
 86,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, 74, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 3000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 27b800, 
 87,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, 74, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 174800, 
 88,   Concat, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, e274, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 89,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, 74, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 6000, MSMC, DMA_ONCE, 192, 192, 128, 24576, 0, 246800, 
 90,     Conv, 128, 10, 10, 64, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, a6f4, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 284800, 
 91,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, e274, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 17f800, 
 92,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, e274, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 18a800, 
 93,     Conv, 64, 10, 10, 1, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 1, 384, 12, 60f4, ,,,,,,,, L2, DMA, 192, 65, 1, 256, 0, 3000, MSMC, DMA_ONCE, 192, 192, 1, 256, 0, 29e880, 
 94,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, a6f4, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 195800, 
 95,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, a6f4, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1a0800, 
 97,     Conv, 64, 10, 10, 1, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 1, 384, 12, 6274, ,,,,,,,, L2, DMA, 192, 65, 1, 256, 0, 3000, MSMC, DMA_ONCE, 192, 192, 1, 256, 0, 29e680, 
 96,     Conv, 64, 10, 10, 4, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 4, 896, 12, 68f4, ,,,,,,,, L2, DMA_ONCE, 192, 65, 4, 768, 0, 6f800, ,,,,,,,, 
 98,   Concat, 6, 10, 10, 6, 10, 10, 6,  COL, 0, 0, 110, 110, 6, 1, 6,,,,,,,,, L2, DMA, 192, 192, 2, 384, 0, 0, ,,,,,,,, MSMC, CPU, 192, 100, 6, 1280, 0, 6380, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 99,     Conv, 128, 10, 10, 128, 5, 5, 128, ROW_L, 12, 12, 110, 122, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 26, 26, 128, 3456, 0, 6880, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 6000, MSMC, DMA_ONCE, 1216, 1216, 128, 155648, 0, 9a800, 
 100,   Concat, 256, 5, 5, 256, 5, 5, 256,  COL, 0, 0, 25, 25, 1, 1, 1,,,,,,,,, L2, DMA, 25, 25, 256, 6400, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 1679, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 101,     Conv, 256, 5, 5, 128, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 79, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 128, 40960, 0, 220800, 
 102,     Conv, 256, 5, 5, 128, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 1679, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 128, 40960, 0, 22a800, 
 103,     Conv, 128, 5, 5, 128, 5, 5, 128, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 128, 3840, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 1679, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, f00, MSMC, DMA_ONCE, 192, 192, 128, 24576, 0, 240800, 
 104,     Conv, 128, 5, 5, 128, 5, 5, 128, ROW_L, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 1679, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 1580, MSMC, DMA_ONCE, 1216, 1216, 128, 155648, 0, c0800, 
 105,   Concat, 256, 5, 5, 256, 5, 5, 256,  COL, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 256, 11008, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 2c79, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 106,     Conv, 256, 5, 5, 256, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 79, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 256, 81920, 0, 11e800, 
 107,     Conv, 256, 5, 5, 64, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 64, 2944, 7, 79, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 64, 20480, 0, 25b800, 
 108,     Conv, 64, 5, 5, 64, 5, 5, 64, ROW_L, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 64, 2816, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 64, 2944, 7, bf9, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, b00, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1cc800, 
 109,     Conv, 64, 5, 5, 64, 5, 5, 64, ROW_L, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 64, 2816, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 64, 2944, 7, bf9, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, b00, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1d7800, 
 110,     Conv, 64, 5, 5, 1, 5, 5, 64, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 64, 1920, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 1, 256, 7, bf9, ,,,,,,,, L2, DMA, 192, 65, 1, 256, 0, 780, MSMC, DMA_ONCE, 192, 192, 1, 256, 0, 29e480, 
 111,     Conv, 64, 5, 5, 64, 5, 5, 64, ROW_L, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 64, 2816, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 64, 2944, 7, 79, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, b00, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1e2800, 
 112,     Conv, 64, 5, 5, 64, 5, 5, 64, ROW_L, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 64, 2816, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 64, 2944, 7, 79, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, b00, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1ed800, 
 114,     Conv, 64, 5, 5, 1, 5, 5, 64, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 64, 1920, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 1, 256, 7, cf9, ,,,,,,,, L2, DMA, 192, 65, 1, 256, 0, 780, MSMC, DMA_ONCE, 192, 192, 1, 256, 0, 29e780, 
 113,     Conv, 64, 5, 5, 4, 5, 5, 64, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 64, 1920, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 4, 384, 7, 1fc, ,,,,,,,, L2, DMA, 192, 65, 4, 768, 0, 780, MSMC, DMA_ONCE, 192, 192, 4, 768, 0, 29d980, 
 115,   Concat, 6, 5, 5, 6, 5, 5, 6,  COL, 0, 0, 30, 30, 6, 1, 6,,,,,,,,, L2, DMA, 43, 43, 2, 128, 0, 0, ,,,,,,,, MSMC, CPU, 25, 25, 6, 384, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 116, DetectionOutput, 6, 20, 20, 1, 1404, 1, 6,  COL, 0, 0, 400, 400, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 6, 2688, 0, 0, ,,,,,,,, MSMC, CPU, 5696, 5616, 1, 5888, 0, 180, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, ODOutputReformat, 1, 1404, 1, 1, 6, 200, 1,  COL, 0, 0, 1404, 1404, 1, 1, 1,,,,,,,,, L2, DMA, 1472, 1472, 1, 1536, 0, 0, MSMC, NA, 4800, 0, 1, 4864, 0, 0, DDR, DMA, 4800, 4800, 1, 5888, 0, 223280, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118,     Data, 1, 6, 200, 0, 0, 0, 1, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 5696, 1200, 1, 5888, 0, ffffffff, ,,,,,,,, DDR, CPU, 26084, 0, 0, 79360, 0, 2232de, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
